text,entity,label
Observers to monitor UK election Ministers will invite international observers to check the forthcoming UK general election is fairly run.,UK,GPE
Observers to monitor UK election Ministers will invite international observers to check the forthcoming UK general election is fairly run.,UK,GPE
A report by two MPs' committees called for urgent changes to the electoral registration system to combat vote rigging and boost turnout.,two,CARDINAL
Junior constitutional affairs minister Christopher Leslie said he expected the government to invite observers once the election date was announced.,Christopher Leslie,PERSON
But trial all-postal ballots in four English regions last summer were hit by delays and some fraud allegations.,four,CARDINAL
But trial all-postal ballots in four English regions last summer were hit by delays and some fraud allegations.,English,LANGUAGE
But trial all-postal ballots in four English regions last summer were hit by delays and some fraud allegations.,last summer,DATE
"Lord Greaves called for international observers at the general election, saying otherwise there could be months of court challenges.",months,DATE
It also said about three million people eligible to vote are not registered.,about three million,CARDINAL
"Figures for the 2001 general election suggest 29% of people aged between 18 and 24, and 19% of black voters, were not on the electoral roll.",between 18 and 24,DATE
Shadow Constitutional Affairs Secretary Oliver Heald accused the government of dragging its feet over badly needed measures.,Shadow Constitutional Affairs,WORK_OF_ART
Shadow Constitutional Affairs Secretary Oliver Heald accused the government of dragging its feet over badly needed measures.,Oliver Heald,PERSON
He said it was vital to move ahead with individual voter registration to safeguard the integrity of Britain's electoral system.,Britain,GPE
