text,entity,label
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,Gordon Brown,PERSON
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,Labour,ORG
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,third,ORDINAL
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,Budget,ORG
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,1230,DATE
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,GMT,FAC
Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,Budget to set scene for election Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT.,CATEGORY_POLITICS
"He is expected to stress the importance of continued economic stability, with low unemployment and interest rates.","He is expected to stress the importance of continued economic stability, with low unemployment and interest rates.",CATEGORY_GENERAL
"The chancellor is expected to freeze petrol duty and raise the stamp duty threshold from Â£60,000.","Â£60,000",CARDINAL
"The chancellor is expected to freeze petrol duty and raise the stamp duty threshold from Â£60,000.","The chancellor is expected to freeze petrol duty and raise the stamp duty threshold from Â£60,000.",CATEGORY_TECHNOLOGY
But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.,Conservatives,NORP
But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.,Dems,NORP
But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.,Labour,ORG
But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.,But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.,CATEGORY_GENERAL
"Treasury officials have said there will not be a pre-election giveaway, but Mr Brown is thought to have about Â£2bn to spare.",Treasury,ORG
"Treasury officials have said there will not be a pre-election giveaway, but Mr Brown is thought to have about Â£2bn to spare.",Mr Brown,PERSON
"Treasury officials have said there will not be a pre-election giveaway, but Mr Brown is thought to have about Â£2bn to spare.","Treasury officials have said there will not be a pre-election giveaway, but Mr Brown is thought to have about Â£2bn to spare.",CATEGORY_TECHNOLOGY
"- Increase in the stamp duty threshold from Â£60,000 - A freeze on petrol duty - An extension of tax credit scheme for poorer families - Possible help for pensioners The stamp duty threshold rise is intended to help first-time buyers - a likely theme of all three of the main parties' general election manifestos.",first,ORDINAL
"- Increase in the stamp duty threshold from Â£60,000 - A freeze on petrol duty - An extension of tax credit scheme for poorer families - Possible help for pensioners The stamp duty threshold rise is intended to help first-time buyers - a likely theme of all three of the main parties' general election manifestos.",three,CARDINAL
"- Increase in the stamp duty threshold from Â£60,000 - A freeze on petrol duty - An extension of tax credit scheme for poorer families - Possible help for pensioners The stamp duty threshold rise is intended to help first-time buyers - a likely theme of all three of the main parties' general election manifestos.","- Increase in the stamp duty threshold from Â£60,000 - A freeze on petrol duty - An extension of tax credit scheme for poorer families - Possible help for pensioners The stamp duty threshold rise is intended to help first-time buyers - a likely theme of all three of the main parties' general election manifestos.",CATEGORY_TECHNOLOGY
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",Ten years ago,DATE
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",close to half a million,CARDINAL
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",England,GPE
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",Wales,GPE
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",less than,CARDINAL
"Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.","Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000.",CATEGORY_GENERAL
"Since then, average UK property prices have more than doubled while the starting threshold for stamp duty has not increased.",UK,GPE
"Since then, average UK property prices have more than doubled while the starting threshold for stamp duty has not increased.","Since then, average UK property prices have more than doubled while the starting threshold for stamp duty has not increased.",CATEGORY_GENERAL
"As a result, the number of properties incurring stamp duty has rocketed as has the government's tax take.","As a result, the number of properties incurring stamp duty has rocketed as has the government's tax take.",CATEGORY_POLITICS
"The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to Â£150,000 in February.",Democrats,NORP
"The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to Â£150,000 in February.",February,DATE
"The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to Â£150,000 in February.","The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to Â£150,000 in February.",CATEGORY_TECHNOLOGY
"The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".",Tories,NORP
"The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".",Oliver Letwin,PERSON
"The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".",Labour,ORG
"The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".","The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"".",CATEGORY_GENERAL
They say whatever the chancellor gives away will be clawed back in higher taxes if Labour is returned to power.,Labour,ORG
They say whatever the chancellor gives away will be clawed back in higher taxes if Labour is returned to power.,They say whatever the chancellor gives away will be clawed back in higher taxes if Labour is returned to power.,CATEGORY_GENERAL
Shadow Treasury chief secretary George Osborne said there had been a sharp deterioration in the public finances.,Treasury,ORG
Shadow Treasury chief secretary George Osborne said there had been a sharp deterioration in the public finances.,George Osborne,PERSON
Shadow Treasury chief secretary George Osborne said there had been a sharp deterioration in the public finances.,Shadow Treasury chief secretary George Osborne said there had been a sharp deterioration in the public finances.,CATEGORY_TECHNOLOGY
"If Labour is elected there will be a substantial tax increase in the Budget after the election, of the order of around Â£10bn.",Labour,ORG
"If Labour is elected there will be a substantial tax increase in the Budget after the election, of the order of around Â£10bn.",Budget,ORG
"If Labour is elected there will be a substantial tax increase in the Budget after the election, of the order of around Â£10bn.","If Labour is elected there will be a substantial tax increase in the Budget after the election, of the order of around Â£10bn.",CATEGORY_POLITICS
But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,Brown,PERSON
But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,Ed Balls,PERSON
But Mr Brown's former advisor Ed Balls said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament.,Tory,ORG
